"","y_pred_rf","index"
"406",49.5847,517
"547",68.2584666666667,518
"328",74.6092666666667,519
"329",77.3457,520
"361",73.7594,521
"548",70.5229333333334,522
"72",77.2598333333334,523
"182",66.2732333333333,524
"261",56.8039,525
"282",51.1393333333334,526
"308",74.7762333333334,527
"330",74.8715333333334,528
"387",74.0171666666667,529
"476",64.6815333333334,530
"500",72.2691333333333,531
"525",50.4993333333333,532
"549",56.5168666666667,533
"50",69.1473666666666,534
"73",76.392,535
"120",57.8874666666667,536
"143",68.26,537
"206",47.4172666666667,538
"262",72.4377,539
"388",67.2815,540
"407",52.9234666666667,541
"526",72.1370999999999,542
"51",74.6279,543
"99",79.8688333333333,544
"121",77.5082333333333,545
"362",64.044,546
"428",65.1718,547
"52",78.7369333333333,548
"527",56.5511666666667,549
"550",59.1599666666667,550
