"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"75","If I Was a Cowboy","Miranda Lambert",0.575,0.644,6,-5.68,0.0309,0.271,0,0.131,0.626,80.07,"6F7UOC6fPWOkPqybOWBHSv",195013,4,2022-03-31
"76","Trouble With A Heartbreak","Jason Aldean",0.582,0.797,5,-4.926,0.0334,0.23,0,0.132,0.595,135.973,"4lSNyiHil3tuiwtvEpN1qq",196027,4,2022-03-31
"77","Dimension","Excision",0.398,0.928,2,-1.203,0.436,0.00261,0.348,0.31,0.227,149.855,"3IWkjBkiR4pHOkaHV52OMl",159163,4,2022-03-31
"78","Praise The Lord (feat. Thomas Rhett)","BRELAND",0.826,0.603,1,-7.659,0.0737,0.0474,0,0.0831,0.681,107.494,"4ELynSlkV4OHcBCFenFJ7U",160290,4,2022-03-31
"79","How The Story Goes","Wiz Khalifa",0.817,0.688,11,-3.639,0.0723,0.00877,0.000567,0.138,0.715,88.024,"3GJN343ii9tJpxYJB4KTJN",189290,4,2022-03-31
"80","Up There Down Here","Jake Owen",0.517,0.901,4,-3.51,0.039,0.234,0,0.317,0.567,150.033,"1116cRlf1zVJXVI2fUUwFD",200400,4,2022-03-31
"81","AA","Walker Hayes",0.634,0.764,4,-5.858,0.0297,0.00354,0,0.337,0.736,104.03,"6aIrXGmaFqPafbYgxbMUsj",189560,4,2022-03-31
"82","Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","MOUNT WESTMORE",0.92,0.549,11,-5.912,0.257,0.0262,3.1e-06,0.196,0.709,90.004,"5GPm7PsMQwceQvfYlGXcCt",241587,4,2022-03-31
"83","Heavy (with Nigo)","Nigo",0.668,0.584,8,-7.643,0.166,0.164,0,0.414,0.316,144.448,"39w2YI59aWcTSzdqana42B",199412,4,2022-03-31
"84","Colorado Boulder","charlieonnafriday",0.745,0.608,9,-5.888,0.0437,0.0636,0,0.195,0.523,140.056,"415cidxCKnjZg9l7dAnVJp",163663,4,2022-03-31
"85","Dark Night - 717 Tapes","Warren Zeiders",0.78,0.682,10,-5.869,0.0341,0.153,0,0.169,0.609,120.083,"4Y7ze5PDaQSSkvCX3pd5CO",157992,4,2022-03-31
"86","Colorado","Laszewo",0.618,0.553,8,-7.507,0.0517,0.128,0.000179,0.0897,0.0575,122.009,"1nIRahjeEII1lsDPEn0nJz",195416,4,2022-03-31
"87","'Til You Can't","Cody Johnson",0.501,0.815,1,-4.865,0.0436,0.0513,0,0.106,0.46,160.087,"4k3lPl8YTKuY8c1HelVnm3",224213,4,2022-03-31
"88","No Le Aflojo","Los Gemelos De Sinaloa",0.698,0.687,5,-4.115,0.0501,0.195,0,0.0829,0.773,116.765,"7ifMxHITc3NIipJO4R5NGb",202876,4,2022-03-31
